trial_id,condition,modality,hand,site,p2_latency_ms,p2_amp_uv,p2_reason,p3_latency_ms,p3_amp_uv,p3_reason,cnv_mean_uv,cnv_slope_uv_per_s,cnv_onset_s
73,trial,A,right,T3+T4,250.0,4.467333905168922,,460.0,7.086950417842308,,0.6475589929151476,6.204962724875387,
77,trial,A,right,T3+T4,150.0,3.6967857634882337,,410.0,7.573116848547107,,-1.508149296040308,-6.092322623387232,0.666
79,trial,A,right,T3+T4,250.0,4.2314436306332475,,376.0,3.954048375529114,,1.1797321327952972,5.325793965036655,
80,trial,A,right,T3+T4,182.0,7.822215993323166,,396.0,10.815249773851047,,2.9389513219419343,-3.0141561721883643,
82,trial,A,right,T3+T4,230.0,2.32877709061188,,566.0,4.753290407772203,,2.2871994350232243,-7.707091213390243,
83,trial,A,right,T3+T4,192.0,6.976485411011852,,316.0,7.596771811018974,,1.7679158313319137,-2.9241185438948567,
86,trial,A,right,T3+T4,250.0,5.9999530750988965,,542.0,16.56672719024123,,-4.218344038228067,1.748260976676049,0.3
87,trial,A,right,T3+T4,182.0,3.520769674034695,,596.0,7.059138265233365,,-4.173642512709386,-7.767289359942625,0.434
90,trial,A,right,T3+T4,248.0,1.4629620597636053,,316.0,-0.6650853843158167,,-2.8722511075588506,-8.594023974161857,0.512
92,trial,A,right,T3+T4,240.0,-1.1299229605921688,,370.0,0.345992857161848,,0.3126295355236215,-4.009037220549132,
93,trial,A,right,T3+T4,246.0,2.4993123197112954,,334.0,4.030682208504362,,3.631764488187735,-1.2805417354285658,
96,trial,A,right,T3+T4,236.0,1.2824253516944828,,594.0,-0.33294673043959977,,-2.0868823480000893,-3.290621977640558,0.3
98,trial,A,right,T3+T4,208.0,3.807493893684092,,530.0,7.781037953469284,,-0.8214432725561713,2.2350935076260825,0.3
99,trial,A,right,T3+T4,188.0,-3.8768896435948985,,578.0,-2.7582185118160534,,-1.1918000403183702,-6.654658170646134,0.606
100,trial,A,right,T3+T4,212.0,3.1736466289519543,,404.0,2.2795314021125153,,-0.43796727119681383,-2.023832730337162,
103,trial,A,right,T3+T4,176.0,2.537242355607917,,442.0,1.5992437268002475,,-0.47798143149120653,-2.847457129840519,
105,trial,A,right,T3+T4,248.0,4.344956955194447,,392.0,6.435417417030896,,-4.177604496939539,2.7024750541888616,0.3
106,trial,A,right,T3+T4,200.0,-0.8310124373213496,,566.0,7.001861999812036,,-2.576347160469842,0.4827964239048451,0.3
108,trial,A,right,T3+T4,250.0,0.7754537002895192,,586.0,3.312374550560331,,3.2661885539111175,7.749810547855627,
109,trial,A,right,T3+T4,238.0,5.711760653702804,,560.0,5.760801799999897,,0.45089206002543464,5.5938418141508786,
113,trial,A,right,T3+T4,202.0,5.489726184669791,,490.0,8.458721615648136,,-2.2763052027008257,-8.459794849542575,0.526
114,trial,A,right,T3+T4,150.0,7.2697632025181855,,380.0,5.726903481396675,,0.485863704410294,3.285743229734636,
-1,avg,A,right,T3+T4,250.0,0.7360403722993601,,388.0,0.8420617872863703,,-0.4873467122602293,-1.9669071538436367,0.716
118,trial,VA,left,O1+O2,150.0,-1.0364509662099948,,572.0,11.636268903103636,,-1.4915840942549385,-12.745067454330439,0.63
119,trial,VA,left,O1+O2,250.0,3.292853334683766,,430.0,7.152241117740914,,-0.8923185810733727,0.08809676158442294,
121,trial,VA,left,O1+O2,250.0,-1.8980181739787692,,534.0,5.822013907513981,,-2.3814245640881833,1.420792082771704,0.326
123,trial,VA,left,O1+O2,250.0,3.368315881567099,,392.0,7.094078857438893,,-3.612941625616428,-4.562572735252833,0.482
127,trial,VA,left,O1+O2,250.0,-1.9830053136530779,,316.0,2.0055488287963295,,-3.459925578551343,-15.629225782979391,0.52
129,trial,VA,left,O1+O2,250.0,-7.103258977317186,,560.0,2.1826521330196114,,-0.41315023036809684,-6.433179223166637,
131,trial,VA,left,O1+O2,250.0,-4.9492029763246475,,584.0,2.238768885898656,,-4.62040136145294,-2.780525704749976,0.3
132,trial,VA,left,O1+O2,250.0,6.835198599879551,,590.0,16.32294047088421,,-6.116633504124894,6.5295834937858865,0.3
133,trial,VA,left,O1+O2,244.0,-6.338815961000521,,518.0,0.5230431504752926,,2.5090799403682227,2.905269794436835,
135,trial,VA,left,O1+O2,218.0,-0.664077421227223,,528.0,5.694558078164816,,-2.559483819489836,-3.640032408713523,0.502
137,trial,VA,left,O1+O2,248.0,-1.85628741160806,,422.0,2.8820289786493096,,1.8529627907216382,3.939410001633631,
139,trial,VA,left,O1+O2,236.0,-0.5637777266668601,,554.0,8.218624205271588,,-3.211380051980169,-8.15888431493377,0.472
140,trial,VA,left,O1+O2,250.0,9.21299653789038,,580.0,13.863097314183523,,-7.153869257645263,-3.643553140992256,0.3
