modality,hand,band,trial_in_group,orig_epoch_index,channel,ers_onset_s,ers_peak_s,ers_peak_amp,detected,thr_percent,min_dur_s,search_start_s,search_end_s
V,right,beta,0,2,C3,6.338,7.504,90.79206773294374,True,30.0,0.15,6.25,8.5
V,right,beta,1,3,C3,6.25,6.282,110.74440125657146,True,30.0,0.15,6.25,8.5
V,right,beta,2,4,C3,7.016,7.342,106.36867005145862,True,30.0,0.15,6.25,8.5
V,right,beta,3,5,C3,6.5,6.752,113.51411792465939,True,30.0,0.15,6.25,8.5
V,right,beta,4,9,C3,,7.908,31.912736441031875,False,30.0,0.15,6.25,8.5
V,right,beta,5,11,C3,7.236,8.202,90.57976644452674,True,30.0,0.15,6.25,8.5
V,right,beta,6,13,C3,7.07,8.5,139.3131023783679,True,30.0,0.15,6.25,8.5
V,right,beta,7,14,C3,7.806,8.024,40.33344850409627,True,30.0,0.15,6.25,8.5
V,right,beta,8,15,C3,7.93,8.236,58.14041046020321,True,30.0,0.15,6.25,8.5
V,right,beta,9,21,C3,,8.038,2.797917148502836,False,30.0,0.15,6.25,8.5
V,right,beta,10,24,C3,6.284,6.646,143.4435601036967,True,30.0,0.15,6.25,8.5
V,right,beta,11,25,C3,6.922,7.722,96.53457044753347,True,30.0,0.15,6.25,8.5
V,right,beta,12,27,C3,7.126,7.412,113.11560718499143,True,30.0,0.15,6.25,8.5
V,right,beta,13,30,C3,7.266,7.422,167.6406331008336,True,30.0,0.15,6.25,8.5
V,right,beta,14,32,C3,6.788,7.672,76.67180989492728,True,30.0,0.15,6.25,8.5
V,right,beta,15,33,C3,,8.5,48.82183482808773,False,30.0,0.15,6.25,8.5
V,right,beta,16,34,C3,7.034,6.528,44.67340161075281,True,30.0,0.15,6.25,8.5
V,right,beta,17,36,C3,6.25,8.002,324.5725834242658,True,30.0,0.15,6.25,8.5
V,right,beta,18,38,C3,6.258,8.5,210.7601310266287,True,30.0,0.15,6.25,8.5
V,right,beta,19,39,C3,,7.428,41.44369400014981,False,30.0,0.15,6.25,8.5
V,right,beta,20,40,C3,6.756,6.896,75.80581043982502,True,30.0,0.15,6.25,8.5
V,right,beta,21,41,C3,,6.962,40.1274873686385,False,30.0,0.15,6.25,8.5
V,right,beta,22,42,C3,7.04,6.254,73.97887160610587,True,30.0,0.15,6.25,8.5
V,right,beta,23,48,C3,,8.364,25.985351207305836,False,30.0,0.15,6.25,8.5
V,right,beta,24,51,C3,7.65,7.78,53.98744936250464,True,30.0,0.15,6.25,8.5
V,right,beta,25,53,C3,6.25,6.45,127.2635474248157,True,30.0,0.15,6.25,8.5
V,right,beta,26,54,C3,6.256,6.844,158.361497238975,True,30.0,0.15,6.25,8.5
V,right,beta,27,55,C3,6.286,6.418,50.24224787660855,True,30.0,0.15,6.25,8.5
VA,left,beta,0,117,C4,6.44,6.7,94.15884065094997,True,30.0,0.15,6.25,8.5
VA,left,beta,1,118,C4,6.586,8.354,77.13430446451142,True,30.0,0.15,6.25,8.5
VA,left,beta,2,120,C4,7.958,8.068,70.3013855669907,True,30.0,0.15,6.25,8.5
VA,left,beta,3,122,C4,6.562,7.564,76.3341062374764,True,30.0,0.15,6.25,8.5
VA,left,beta,4,126,C4,7.59,7.74,45.72293932488492,True,30.0,0.15,6.25,8.5
VA,left,beta,5,128,C4,,7.496,-15.120744990114568,False,30.0,0.15,6.25,8.5
VA,left,beta,6,130,C4,,7.28,40.55977702489412,False,30.0,0.15,6.25,8.5
VA,left,beta,7,131,C4,6.824,7.602,158.11555364533228,True,30.0,0.15,6.25,8.5
VA,left,beta,8,132,C4,7.916,8.264,131.04463053711933,True,30.0,0.15,6.25,8.5
VA,left,beta,9,134,C4,,6.25,7.468205770578048,False,30.0,0.15,6.25,8.5
VA,left,beta,10,136,C4,7.226,7.35,67.61551897006285,True,30.0,0.15,6.25,8.5
VA,left,beta,11,138,C4,8.184,8.458,117.41187523170693,True,30.0,0.15,6.25,8.5
VA,left,beta,12,139,C4,,6.868,-2.452564079434108,False,30.0,0.15,6.25,8.5
VA,left,beta,13,140,C4,6.25,6.342,61.51868690423902,True,30.0,0.15,6.25,8.5
VA,left,beta,14,144,C4,,7.998,26.479537653319174,False,30.0,0.15,6.25,8.5
VA,left,beta,15,145,C4,,8.44,29.669907928987964,False,30.0,0.15,6.25,8.5
VA,left,beta,16,146,C4,7.668,8.0,56.86402195393303,True,30.0,0.15,6.25,8.5
VA,left,beta,17,148,C4,,7.44,2.916564675678217,False,30.0,0.15,6.25,8.5
VA,left,beta,18,152,C4,7.27,7.996,102.66724023838957,True,30.0,0.15,6.25,8.5
VA,left,beta,19,153,C4,6.57,6.772,55.815727930803746,True,30.0,0.15,6.25,8.5
VA,left,beta,20,156,C4,6.59,7.056,111.00507081319782,True,30.0,0.15,6.25,8.5
VA,left,beta,21,158,C4,7.108,7.442,131.67849148674972,True,30.0,0.15,6.25,8.5
VA,left,beta,22,159,C4,,6.25,30.341081776975496,False,30.0,0.15,6.25,8.5
VA,left,beta,23,160,C4,6.976,7.288,84.11164939201838,True,30.0,0.15,6.25,8.5
VA,left,beta,24,163,C4,6.25,6.352,162.4591682785521,True,30.0,0.15,6.25,8.5
VA,left,beta,25,165,C4,7.41,8.392,72.28823489141571,True,30.0,0.15,6.25,8.5
VA,left,beta,26,167,C4,7.074,7.384,85.54757988957815,True,30.0,0.15,6.25,8.5
VA,left,beta,27,168,C4,7.37,7.996,85.30357187493179,True,30.0,0.15,6.25,8.5
VA,right,beta,0,114,C3,6.68,8.386,203.89044295094777,True,30.0,0.15,6.25,8.5
VA,right,beta,1,115,C3,7.702,7.964,71.58444901885517,True,30.0,0.15,6.25,8.5
VA,right,beta,2,116,C3,7.098,8.5,81.80439422044695,True,30.0,0.15,6.25,8.5
VA,right,beta,3,119,C3,,7.288,42.14806896669731,False,30.0,0.15,6.25,8.5
VA,right,beta,4,121,C3,6.426,8.036,87.06000910881659,True,30.0,0.15,6.25,8.5
VA,right,beta,5,123,C3,6.47,7.954,48.16256661425222,True,30.0,0.15,6.25,8.5
VA,right,beta,6,124,C3,6.25,6.462,78.87760500474421,True,30.0,0.15,6.25,8.5
VA,right,beta,7,125,C3,6.922,7.214,80.57507945750838,True,30.0,0.15,6.25,8.5
VA,right,beta,8,127,C3,7.64,8.5,99.03481931105047,True,30.0,0.15,6.25,8.5
