modality,model,time_s,mean_bal_acc,sem_bal_acc
V,CSP+LDA,6.800000000000001,0.44666666666666666,0.03922867431979941
V,CSP+LDA,6.9,0.42666666666666664,0.04552166761249222
V,CSP+LDA,7.0,0.5166666666666667,0.06519202405202648
V,CSP+LDA,7.1,0.44333333333333336,0.0396512575112344
V,CSP+LDA,7.199999999999999,0.43,0.02380476142847616
V,CSP+LDA,7.300000000000001,0.43,0.02380476142847616
V,CSP+LDA,7.4,0.5333333333333333,0.04564354645876383
V,CSP+LDA,7.5,0.4966666666666667,0.041965594373380564
V,CSP+LDA,7.6,0.51,0.04136557881996951
V,CSP+LDA,7.699999999999999,0.45666666666666667,0.034399612400917136
V,CSP+LDA,7.800000000000001,0.45999999999999996,0.04731689855526129
V,CSP+LDA,7.9,0.45666666666666667,0.0817516564562048
V,CSP+LDA,8.0,0.43666666666666665,0.038514066694304454
V,CSP+LDA,8.1,0.44000000000000006,0.0455216676124922
V,CSP+LDA,8.2,0.46333333333333326,0.04784233364802441
V,CSP+LDA,8.3,0.42333333333333334,0.033993463423951896
V,CSP+LDA,8.4,0.44000000000000006,0.04236088342379612
V,CSP+LDA,8.5,0.4600000000000001,0.028185890875479604
V,CSP+LDA,8.6,0.4766666666666667,0.04268749491621898
V,CSP+LDA,8.7,0.48,0.0402768199119819
V,CSP+LDA,8.8,0.44333333333333336,0.07102425250887505
V,CSP+LDA,8.9,0.4666666666666667,0.077817450199525
V,CSP+LDA,9.0,0.5033333333333333,0.0879393730551528
VA,CSP+LDA,-4.0,0.38333333333333336,0.05821416398857661
VA,CSP+LDA,-3.9,0.44333333333333336,0.07408703590297623
VA,CSP+LDA,-3.8,0.37,0.06570134448142341
VA,CSP+LDA,-3.7,0.35666666666666663,0.05930148958219064
VA,CSP+LDA,-3.6,0.39,0.05233439489369193
VA,CSP+LDA,-3.5,0.31666666666666665,0.04116363011742822
VA,CSP+LDA,-3.4,0.31666666666666665,0.050277010429994516
VA,CSP+LDA,-3.3,0.27666666666666667,0.04642796092394705
VA,CSP+LDA,-3.2,0.3833333333333333,0.06728876412728782
VA,CSP+LDA,-3.1,0.39666666666666667,0.056617625838210076
VA,CSP+LDA,-3.0,0.4033333333333333,0.048705463987341525
VA,CSP+LDA,-2.9,0.42333333333333334,0.03894440481849308
VA,CSP+LDA,-2.8,0.4533333333333333,0.02494438257849295
VA,CSP+LDA,-2.7,0.4533333333333333,0.07498147919467994
VA,CSP+LDA,-2.6,0.37333333333333335,0.03749073959733998
VA,CSP+LDA,-2.5,0.42000000000000004,0.04390646624106497
VA,CSP+LDA,-2.4,0.38666666666666666,0.033082388735465346
VA,CSP+LDA,-2.3,0.35,0.03979112128771107
VA,CSP+LDA,-2.2,0.36,0.04490731195102493
VA,CSP+LDA,-2.1,0.3466666666666667,0.05734883511361751
VA,CSP+LDA,-2.0,0.3433333333333334,0.03749073959733998
VA,CSP+LDA,-1.9,0.32666666666666666,0.022730302828309762
VA,CSP+LDA,-1.7999999999999998,0.32333333333333336,0.026666666666666675
