modality,hand,band,trial,delta_erd_onset_s,delta_erd_peak_s,delta_pmbr_peak_s,delta_erd_amp_pct,delta_pmbr_amp_pct
A,left,mu,19,-0.396,-0.04400000000000004,,-9.802063,
A,left,mu,20,-1.176,-0.976,,-9.159195,
A,left,mu,21,-0.84,0.5959999999999999,,-18.168121,
A,left,mu,22,-0.708,0.9000000000000001,,5.1734924,
A,left,mu,23,-0.34800000000000003,0.3320000000000001,,0.1687622,
A,left,mu,24,0.0,1.4839999999999998,,-1.1319046,
A,left,mu,25,,,,,
A,left,mu,26,0.032,0.504,,-6.363678,
A,right,beta,0,0.8639999999999999,-0.09999999999999987,0.7599999999999998,-11.772385,-110.63316345214844
A,right,beta,1,1.048,-2.5200000000000005,-1.072,-3.7995377,-37.13531494140625
A,right,beta,2,0.484,3.06,0.6000000000000005,-1.8719025,-58.20655059814453
A,right,beta,3,,,,,
A,right,beta,4,0.03600000000000003,-2.256,0.07600000000000051,-2.4309845,-67.40028381347656
A,right,beta,6,-0.17200000000000001,-1.952,-1.7679999999999998,-5.0749435,-32.56709289550781
A,right,beta,7,,,,,
A,right,beta,8,,,,,
A,right,beta,9,,,,,
A,right,beta,10,0.508,-1.5080000000000002,-0.03200000000000003,0.9112854,-32.5565185546875
A,right,beta,11,,,,,
A,right,beta,12,0.0,0.0,0.0,0.0,0.0
A,right,beta,13,1.02,0.6319999999999999,1.7039999999999997,4.017624,-16.551666259765625
A,right,beta,14,0.39999999999999997,3.7520000000000002,-0.1720000000000006,-4.4709015,68.13140869140625
A,right,beta,15,0.34,0.18799999999999994,0.8319999999999999,11.778809,191.51942443847656
A,right,beta,16,-0.04400000000000004,1.7479999999999998,-0.008000000000000007,8.8138275,-0.4202728271484375
A,right,beta,17,-0.03199999999999997,1.7799999999999998,0.7119999999999997,5.9286194,-17.05577850341797
A,right,beta,18,-0.764,2.712,-1.1639999999999997,-6.220413,-36.252479553222656
A,right,beta,19,-0.016000000000000014,-0.7400000000000001,0.3280000000000003,-1.7135239,-12.092056274414062
A,right,beta,20,0.14,0.5800000000000001,0.34799999999999986,-7.412575,-119.27114868164062
A,right,beta,21,-0.42,1.64,-0.10800000000000054,8.432259,94.89874267578125
A,right,beta,22,0.504,0.26,-0.8559999999999999,-11.455109,-115.29239654541016
A,right,beta,23,0.42,0.9960000000000002,1.443999999999999,-8.023804,22.552001953125
A,right,beta,24,-0.772,0.20800000000000018,-1.6079999999999997,-9.672829,19.914230346679688
A,right,beta,25,,-2.86,0.2839999999999998,-4.5002594,59.66400146484375
A,right,beta,26,0.652,1.2200000000000002,1.1520000000000001,1.6816788,133.6089630126953
A,right,beta,27,0.644,-0.06000000000000005,0.012000000000000455,15.539787,-6.555206298828125
A,right,beta,28,0.00399999999999999,-0.676,1.6799999999999997,-2.3869476,-372.40167236328125
A,right,beta,29,,,,,
A,right,beta,30,,,,,
A,right,mu,0,0.0,2.2079999999999997,,-5.793518,
A,right,mu,1,-0.1479999999999999,-3.12,,5.6087112,
A,right,mu,2,0.648,0.43199999999999994,,4.978836,
A,right,mu,3,-0.14800000000000002,0.14000000000000012,,-0.18660736,
A,right,mu,4,,,,,
A,right,mu,5,,,,,
A,right,mu,6,0.052,-0.27200000000000024,,-25.52958,
A,right,mu,7,,,,,
A,right,mu,8,,,,,
A,right,mu,9,,,,,
A,right,mu,10,-0.512,3.2319999999999998,,3.4507523,
A,right,mu,11,-0.576,1.5959999999999996,,5.932396,
A,right,mu,12,0.0,0.0,,0.0,
A,right,mu,13,0.15999999999999998,0.5039999999999998,,8.669914,
A,right,mu,14,,,,,
A,right,mu,15,-0.2679999999999999,-0.536,,3.7291183,
A,right,mu,16,-0.384,-3.4240000000000004,,2.229744,
A,right,mu,17,-0.512,0.01200000000000001,,-11.30233,
A,right,mu,18,,,,,
A,right,mu,19,,,,,
A,right,mu,20,,,,,
A,right,mu,21,0.148,-0.6439999999999997,,14.783302,
A,right,mu,22,-0.048000000000000015,-0.31599999999999984,,1.7635498,
A,right,mu,23,,,,,
A,right,mu,24,0.248,1.452,,-4.052826,
A,right,mu,25,0.07200000000000001,0.6360000000000001,,-3.757347,
A,right,mu,26,-1.224,-1.5759999999999998,,-16.79351,
