modality,hand,channel,band,trial,erd_onset_s,erd_peak_s,erd_peak_amp_pct,pmbr_peak_s,pmbr_amp_pct
V,right,C4,beta,1,0.476,1.144,-89.412056,7.792,409.4274
V,right,C4,beta,2,1.692,1.32,-79.50774,8.34,339.52234
V,right,C4,beta,3,0.488,3.352,-85.14612,6.872,143.20071
V,right,C4,beta,4,3.82,4.044,-77.439766,7.996,206.38489
V,right,C4,beta,5,3.688,0.956,-71.35843,7.432,243.4668
V,right,C4,beta,6,0.46,3.236,-58.9803,8.428,248.17339
V,right,C4,beta,7,0.188,2.624,-87.22478,7.948,190.30156
V,right,C4,beta,8,0.036,2.588,-73.49888,7.952,329.17288
V,right,C4,beta,9,0.244,4.308,-89.069046,7.928,122.57224
V,right,C4,beta,10,1.244,1.896,-76.45067,8.056,219.08267
V,right,C4,beta,11,0.988,2.816,-80.15871,7.54,63.08649
V,right,C4,beta,12,0.832,0.904,-76.35557,7.392,202.65521
V,right,C4,beta,13,2.428,3.184,-96.911644,6.252,248.23665
V,right,C4,beta,14,0.728,1.932,-82.15929,7.804,734.7763
V,right,C4,beta,15,2.92,1.536,-82.68491,6.716,217.27858
V,right,C4,beta,16,3.464,3.564,-79.26492,7.044,161.7174
V,right,C4,beta,17,0.86,4.404,-66.905334,8.288,293.08777
V,right,C4,beta,18,1.62,1.796,-88.27204,6.692,138.77472
V,right,C4,beta,19,0.344,2.952,-76.6935,7.616,156.95386
V,right,C4,beta,20,1.356,2.236,-90.979355,7.096,227.16049
V,right,C4,beta,21,1.228,0.508,-93.53905,6.972,186.26724
V,right,C4,beta,22,,0.692,-79.76018,8.136,200.61122
V,right,C4,beta,23,0.152,0.644,-82.06808,6.708,203.89345
V,right,C4,beta,24,2.212,2.864,-77.61572,8.068,215.16501
V,right,C4,beta,25,0.588,1.832,-84.945854,7.096,160.91093
V,right,C4,beta,26,0.0,1.728,-85.524155,8.412,192.04636
A,left,C3,mu,0,0.62,3.812,-90.87767,,
A,left,C3,mu,1,0.424,3.416,-86.232765,,
A,left,C3,mu,2,0.06,1.452,-86.68489,,
A,left,C3,mu,3,0.184,0.572,-80.56957,,
A,left,C3,mu,4,0.0,3.732,-86.751656,,
A,left,C3,mu,5,0.0,2.372,-92.2215,,
A,left,C3,mu,6,0.0,0.8,-93.24721,,
A,left,C3,mu,7,0.208,1.22,-89.41251,,
A,left,C3,mu,8,0.824,2.028,-60.373993,,
A,left,C3,mu,9,0.364,1.248,-89.91121,,
A,left,C3,mu,10,0.124,1.788,-81.520226,,
A,left,C3,mu,11,0.704,0.832,-88.39264,,
A,left,C3,mu,12,0.0,2.248,-89.595665,,
A,left,C3,mu,13,0.528,1.284,-79.355064,,
A,left,C3,mu,14,0.676,3.7,-73.98699,,
A,left,C3,mu,15,0.244,4.208,-91.617516,,
A,left,C3,mu,16,1.456,3.684,-54.70411,,
A,left,C3,mu,17,0.604,1.964,-83.92471,,
A,left,C3,mu,18,0.0,3.832,-93.70705,,
A,left,C3,mu,19,0.396,2.028,-82.649345,,
