modality,model,end_s,mean_bal_acc,sem_bal_acc
V,CSP+LDA,0.3,0.4033333333333333,0.08389808632435478
V,CSP+LDA,0.4,0.5266666666666666,0.029154759474226487
V,CSP+LDA,0.5,0.6333333333333334,0.05725188012439223
V,CSP+LDA,0.6,0.6533333333333333,0.04515405728048022
V,CSP+LDA,0.7,0.5566666666666666,0.050442486501405176
V,CSP+LDA,0.8,0.5633333333333332,0.05333333333333332
V,CSP+LDA,0.9,0.5966666666666667,0.05783117190965823
V,CSP+LDA,1.0,0.5466666666666666,0.06355225321645873
V,CSP+LDA,1.1,0.5566666666666666,0.059535236998305825
V,CSP+LDA,1.2,0.5633333333333332,0.06737127643802579
V,CSP+LDA,1.3,0.5633333333333332,0.04129837231121289
V,CSP+LDA,1.4,0.6,0.06810938913900848
V,CSP+LDA,1.5,0.6,0.06810938913900848
V,CSP+LDA,1.6,0.5433333333333333,0.05286250509051235
V,CSP+LDA,1.7,0.5233333333333333,0.05592653911854172
V,CSP+LDA,1.8,0.5566666666666666,0.04034572812303401
V,CSP+LDA,1.9,0.5566666666666666,0.05233439489369193
V,CSP+LDA,2.0,0.54,0.053903205429320755
V,CSP+LDA,2.1,0.5599999999999999,0.0651067499487487
V,CSP+LDA,2.2,0.5966666666666667,0.06222718234198156
V,CSP+LDA,2.3,0.5533333333333333,0.06355225321645873
V,CSP+LDA,2.4,0.4966666666666667,0.051747248987533405
V,CSP+LDA,2.5,0.5333333333333334,0.04714045207910316
V,CSP+LDA,2.6,0.49333333333333335,0.06574360974438673
V,CSP+LDA,2.7,0.47333333333333333,0.0590668171555645
V,CSP+LDA,2.8,0.49000000000000005,0.06843488389215938
V,CSP+LDA,2.9,0.45666666666666667,0.05338539126015656
V,CSP+LDA,3.0,0.45666666666666667,0.05338539126015656
V,CSP+LDA,3.1,0.4533333333333333,0.03628590176179541
V,CSP+LDA,3.2,0.4966666666666667,0.07214953607304454
V,CSP+LDA,3.3,0.42333333333333334,0.051800900893066854
V,CSP+LDA,3.4,0.44000000000000006,0.058831208649075976
V,CSP+LDA,3.5,0.4366666666666667,0.06087327455916558
V,CSP+LDA,3.6,0.42000000000000004,0.03045944480416177
V,CSP+LDA,3.7,0.45666666666666667,0.049046463231873866
V,CSP+LDA,3.8,0.42000000000000004,0.052546275901448156
V,CSP+LDA,3.9,0.42333333333333334,0.037490739597339985
V,CSP+LDA,4.0,0.44000000000000006,0.048476798574163295
V,CSP+LDA,4.1,0.45999999999999996,0.03785938897200183
V,CSP+LDA,4.2,0.42333333333333334,0.0461278416769935
V,CSP+LDA,4.3,0.45666666666666667,0.03188521078284832
V,CSP+LDA,4.4,0.4600000000000001,0.03188521078284832
V,CSP+LDA,4.5,0.44000000000000006,0.036742346141747664
V,CSP+LDA,4.6,0.45666666666666667,0.03188521078284832
V,CSP+LDA,4.7,0.4600000000000001,0.03188521078284832
V,CSP+LDA,4.8,0.47666666666666674,0.03674234614174767
V,CSP+LDA,4.9,0.49333333333333335,0.04268749491621898
V,CSP+LDA,5.0,0.4533333333333333,0.05587684871413402
VA,CSP+LDA,0.1,0.6533333333333333,0.0669576980886689
VA,CSP+LDA,0.2,0.43,0.061779176642835464
VA,CSP+LDA,0.3,0.37666666666666665,0.03785938897200183
VA,CSP+LDA,0.4,0.5333333333333333,0.08787617550976044
VA,CSP+LDA,0.5,0.6,0.059628479399994404
VA,CSP+LDA,0.6,0.5833333333333334,0.028382310609877337
VA,CSP+LDA,0.7,0.53,0.05093568929978708
VA,CSP+LDA,0.8,0.5433333333333333,0.031001792062897125
VA,CSP+LDA,0.9,0.5133333333333334,0.06289320754704403
VA,CSP+LDA,1.0,0.4966666666666667,0.06485025486114573
VA,CSP+LDA,1.1,0.5,0.030731814857642967
VA,CSP+LDA,1.2,0.5333333333333333,0.03291402943021917
VA,CSP+LDA,1.3,0.42333333333333334,0.07557189365836423
VA,CSP+LDA,1.4,0.45666666666666667,0.07557189365836423
VA,CSP+LDA,1.5,0.44333333333333336,0.0635959467611297
VA,CSP+LDA,1.6,0.44000000000000006,0.04672615256292063
VA,CSP+LDA,1.7,0.4033333333333333,0.051478150704935006
VA,CSP+LDA,1.8,0.47000000000000003,0.06377042156569665
