modality,model,time_s,fold,bal_acc
V,CSP+LDA,-1.4,3,0.08333333333333333
V,CSP+LDA,-1.2999999999999998,3,0.08333333333333333
V,CSP+LDA,-1.2000000000000002,3,0.08333333333333333
V,CSP+LDA,-1.1,3,0.08333333333333333
V,CSP+LDA,-1.0,3,0.08333333333333333
V,CSP+LDA,-0.8999999999999999,3,0.16666666666666666
V,CSP+LDA,-0.7999999999999998,3,0.25
V,CSP+LDA,-0.7000000000000002,3,0.16666666666666666
V,CSP+LDA,-0.6000000000000001,3,0.26666666666666666
V,CSP+LDA,-0.5,3,0.26666666666666666
V,CSP+LDA,-0.40000000000000036,3,0.26666666666666666
V,CSP+LDA,-0.2999999999999998,3,0.08333333333333333
V,CSP+LDA,-0.20000000000000018,3,0.16666666666666666
V,CSP+LDA,-0.09999999999999964,3,0.26666666666666666
V,CSP+LDA,0.0,3,0.35
V,CSP+LDA,0.09999999999999964,3,0.18333333333333335
V,CSP+LDA,0.20000000000000018,3,0.08333333333333333
V,CSP+LDA,0.2999999999999998,3,0.3333333333333333
V,CSP+LDA,0.40000000000000036,3,0.3333333333333333
V,CSP+LDA,0.5,3,0.43333333333333335
V,CSP+LDA,0.5999999999999996,3,0.43333333333333335
V,CSP+LDA,0.7000000000000002,3,0.35
V,CSP+LDA,0.7999999999999998,3,0.35
V,CSP+LDA,0.9000000000000004,3,0.35
V,CSP+LDA,1.0,3,0.26666666666666666
V,CSP+LDA,1.0999999999999996,3,0.26666666666666666
V,CSP+LDA,1.2000000000000002,3,0.26666666666666666
V,CSP+LDA,1.2999999999999998,3,0.35
V,CSP+LDA,1.4000000000000004,3,0.35
V,CSP+LDA,1.5,3,0.35
V,CSP+LDA,1.5999999999999996,3,0.35
V,CSP+LDA,1.7000000000000002,3,0.35
V,CSP+LDA,1.7999999999999998,3,0.43333333333333335
V,CSP+LDA,1.9000000000000004,3,0.43333333333333335
V,CSP+LDA,2.0,3,0.43333333333333335
V,CSP+LDA,2.0999999999999996,3,0.43333333333333335
V,CSP+LDA,2.2,3,0.43333333333333335
V,CSP+LDA,2.3,3,0.43333333333333335
V,CSP+LDA,2.4000000000000004,3,0.43333333333333335
V,CSP+LDA,2.5,3,0.43333333333333335
V,CSP+LDA,2.5999999999999996,3,0.43333333333333335
V,CSP+LDA,2.7,3,0.43333333333333335
V,CSP+LDA,2.8,3,0.43333333333333335
V,CSP+LDA,2.9000000000000004,3,0.43333333333333335
V,CSP+LDA,3.0,3,0.43333333333333335
V,CSP+LDA,3.0999999999999996,3,0.43333333333333335
V,CSP+LDA,3.2,3,0.3333333333333333
V,CSP+LDA,3.3,3,0.43333333333333335
V,CSP+LDA,3.4000000000000004,3,0.43333333333333335
V,CSP+LDA,3.5,3,0.43333333333333335
V,CSP+LDA,3.5999999999999996,3,0.3333333333333333
V,CSP+LDA,3.6999999999999993,3,0.3333333333333333
V,CSP+LDA,3.8000000000000007,3,0.3333333333333333
V,CSP+LDA,3.9000000000000004,3,0.3333333333333333
V,CSP+LDA,4.0,3,0.25
V,CSP+LDA,4.1,3,0.25
V,CSP+LDA,4.199999999999999,3,0.35
V,CSP+LDA,4.300000000000001,3,0.43333333333333335
V,CSP+LDA,4.4,3,0.43333333333333335
V,CSP+LDA,4.5,3,0.43333333333333335
V,CSP+LDA,4.6,3,0.43333333333333335
V,CSP+LDA,4.699999999999999,3,0.26666666666666666
V,CSP+LDA,4.800000000000001,3,0.18333333333333335
V,CSP+LDA,4.9,3,0.3666666666666667
V,CSP+LDA,5.0,3,0.3666666666666667
V,CSP+LDA,5.1,3,0.2833333333333333
V,CSP+LDA,5.199999999999999,3,0.2833333333333333
V,CSP+LDA,5.300000000000001,3,0.26666666666666666
V,CSP+LDA,5.4,3,0.35
V,CSP+LDA,5.5,3,0.25
V,CSP+LDA,5.6,3,0.25
V,CSP+LDA,5.699999999999999,3,0.25
V,CSP+LDA,5.800000000000001,3,0.25
V,CSP+LDA,5.9,3,0.26666666666666666
V,CSP+LDA,6.0,3,0.35
V,CSP+LDA,6.1,3,0.43333333333333335
V,CSP+LDA,6.199999999999999,3,0.43333333333333335
V,CSP+LDA,6.300000000000001,3,0.43333333333333335
V,CSP+LDA,6.4,3,0.35
V,CSP+LDA,6.5,3,0.35
V,CSP+LDA,6.6,3,0.35
V,CSP+LDA,6.699999999999999,3,0.35
V,CSP+LDA,6.800000000000001,3,0.35
V,CSP+LDA,6.9,3,0.35
V,CSP+LDA,7.0,3,0.45
V,CSP+LDA,7.1,3,0.35
V,CSP+LDA,7.199999999999999,3,0.3666666666666667
V,CSP+LDA,7.300000000000001,3,0.3666666666666667
V,CSP+LDA,7.4,3,0.43333333333333335
V,CSP+LDA,7.5,3,0.35
V,CSP+LDA,7.6,3,0.43333333333333335
V,CSP+LDA,7.699999999999999,3,0.43333333333333335
V,CSP+LDA,7.800000000000001,3,0.43333333333333335
V,CSP+LDA,7.9,3,0.35
V,CSP+LDA,8.0,3,0.43333333333333335
V,CSP+LDA,8.1,3,0.43333333333333335
V,CSP+LDA,8.2,3,0.5333333333333333
V,CSP+LDA,8.3,3,0.43333333333333335
V,CSP+LDA,8.4,3,0.43333333333333335
V,CSP+LDA,8.5,3,0.43333333333333335
V,CSP+LDA,8.6,3,0.35
V,CSP+LDA,8.7,3,0.3666666666666667
V,CSP+LDA,8.8,3,0.18333333333333335
V,CSP+LDA,8.9,3,0.2
V,CSP+LDA,9.0,3,0.2
V,CSP+LDA,-4.0,4,0.48333333333333334
