modality,hand,channel,band,metric,unit,n_total,n_valid,prop_valid,mean,std,sem,median,mad,q1,q3,iqr,median_lo,median_hi
VA,left,C4,beta,erd_peak_s,s,25,25,1.0,2.42384,1.3673041505093153,0.27346083010186306,2.384,1.2120000000000002,1.272,3.628,2.356,1.296,3.596
VA,left,C4,mu,erd_peak_s,s,25,25,1.0,2.06448,1.3915733637385657,0.27831467274771315,1.52,0.868,0.832,3.536,2.704,0.98,3.192
VA,right,C3,beta,erd_peak_s,s,23,23,1.0,2.123304347826087,1.1202159870790587,0.23358118016315757,2.3,0.968,1.118,2.934,1.816,1.304,2.792
VA,right,C3,mu,erd_peak_s,s,25,25,1.0,2.30768,1.2496767155281936,0.24993534310563872,2.092,1.024,1.184,3.184,2.0,1.404,3.116
VA,right,C4,beta,erd_peak_s,s,24,24,1.0,3.1398333333333333,0.944300968357324,0.192754628007624,3.3739999999999997,0.7540000000000004,2.237,3.911,1.674,2.34,3.844
VA,right,C4,mu,erd_peak_s,s,28,28,1.0,2.275714285714286,1.2116823583621814,0.22898644201646975,2.654,0.8819999999999999,1.187,2.945,1.7579999999999998,1.6800000000000002,2.832
A,left,C3,beta,pmbr_amp_pct,%,25,25,1.0,171.08506469726564,86.42492878302423,17.284985756604847,148.12733459472656,43.73258972167969,111.25448608398438,195.9224395751953,84.66795349121094,129.6317138671875,195.45281982421875
A,left,C4,beta,pmbr_amp_pct,%,20,20,1.0,174.39371318817138,89.80239611142667,20.08042622475128,153.6989517211914,38.10074234008789,118.26518058776855,198.95955657958984,80.69437599182129,127.12457275390625,189.2105712890625
A,right,C3,beta,pmbr_amp_pct,%,30,30,1.0,207.05516554514568,156.8095256231964,28.629371471836336,180.3710174560547,67.15386199951172,112.37190246582031,212.3368148803711,99.96491241455078,117.02425003051758,193.73265838623047
A,right,C4,beta,pmbr_amp_pct,%,23,23,1.0,229.41311910878056,133.26233208679366,27.787117090957096,182.93209838867188,38.46673583984375,156.17313385009766,252.98444366455078,96.81130981445312,165.7884979248047,221.39883422851562
V,left,C3,beta,pmbr_amp_pct,%,24,24,1.0,272.13514073689777,161.138626557349,32.892284409866285,243.97543334960938,77.27520751953125,173.27414321899414,310.90196228027344,137.6278190612793,211.62288665771484,301.1991882324219
V,left,C4,beta,pmbr_amp_pct,%,26,26,1.0,240.3746882218581,218.4557486522885,42.842697124405376,181.23192596435547,58.01305389404297,143.55638885498047,293.6700668334961,150.11367797851562,147.18360900878906,256.51302337646484
V,right,C3,beta,pmbr_amp_pct,%,23,23,1.0,232.22789465862772,107.46166424218883,22.40730595305811,204.76889038085938,70.22439575195312,170.7137222290039,307.59332275390625,136.87960052490234,179.16383361816406,262.087646484375
V,right,C4,beta,pmbr_amp_pct,%,22,22,1.0,232.71922146190298,136.8835303344429,29.183666724588154,201.63321685791016,45.609764099121094,157.9431266784668,242.92016220092773,84.97703552246094,171.6105499267578,225.4297769546508
VA,left,C3,beta,pmbr_amp_pct,%,23,23,1.0,184.43670123556385,70.82807352472344,14.768674249799119,189.29776000976562,58.79945373535156,119.94526290893555,244.5793914794922,124.63412857055664,130.49830627441406,225.51309204101562
VA,left,C4,beta,pmbr_amp_pct,%,25,25,1.0,178.96215187072755,82.33560567265216,16.467121134530434,186.11781311035156,65.33912658691406,120.33952331542969,243.88067626953125,123.54115295410156,128.64259338378906,220.889892578125
VA,right,C3,beta,pmbr_amp_pct,%,23,23,1.0,251.9312047543733,101.10110092120978,21.08103681911124,237.3055877685547,42.45709228515625,192.91841888427734,273.96441650390625,81.0459976196289,196.0686492919922,268.3466796875
VA,right,C4,beta,pmbr_amp_pct,%,24,24,1.0,202.38383801778158,105.82847594518448,21.60214719350881,180.6656036376953,59.09547424316406,129.8062973022461,235.8637237548828,106.05742645263672,141.05064392089844,226.24221801757812
A,left,C3,beta,pmbr_peak_s,s,25,25,1.0,7.589600000000001,0.6462269983011647,0.12924539966023293,7.564,0.5839999999999996,7.108,8.252,1.144000000000001,7.308,7.968
A,left,C4,beta,pmbr_peak_s,s,20,20,1.0,7.2568,0.713854002469766,0.15962260755326996,7.038,0.5640000000000001,6.6080000000000005,7.9319999999999995,1.323999999999999,6.75,7.808
A,right,C3,beta,pmbr_peak_s,s,30,30,1.0,7.518266666666666,0.7914276464341069,0.14449425819506112,7.7780000000000005,0.548,6.744,8.265,1.5210000000000008,6.87,8.18
A,right,C4,beta,pmbr_peak_s,s,23,23,1.0,7.328869565217392,0.6987562524909935,0.1457007505568769,7.236,0.6399999999999997,6.612,7.9079999999999995,1.2959999999999994,6.628,7.804
V,left,C3,beta,pmbr_peak_s,s,24,24,1.0,7.446666666666665,0.7330400467538779,0.14963117296441045,7.616,0.7259999999999995,6.71,8.024000000000001,1.314000000000001,6.876,7.892
V,left,C4,beta,pmbr_peak_s,s,26,26,1.0,7.409692307692307,0.596318490018934,0.11694767757395111,7.35,0.42200000000000015,7.015000000000001,7.778,0.762999999999999,7.165850000000001,7.742
V,right,C3,beta,pmbr_peak_s,s,23,23,1.0,7.390608695652174,0.5835136314626821,0.12167100295875703,7.304,0.4119999999999999,7.0,7.938000000000001,0.9380000000000006,7.032,7.928
V,right,C4,beta,pmbr_peak_s,s,22,22,1.0,7.701818181818183,0.5723132372734722,0.12201759216650271,7.866,0.4300000000000006,7.17,8.119,0.9489999999999998,7.392,8.062
VA,left,C3,beta,pmbr_peak_s,s,23,23,1.0,7.437391304347828,0.6884867292000515,0.14355940692522065,7.496,0.5239999999999991,6.954,8.001999999999999,1.0479999999999992,7.064,7.892
VA,left,C4,beta,pmbr_peak_s,s,25,25,1.0,7.607520000000001,0.6842478303460913,0.13684956606921825,7.548,0.6039999999999992,7.192,8.276,1.0839999999999996,7.336,8.152
VA,right,C3,beta,pmbr_peak_s,s,23,23,1.0,7.42695652173913,0.7393502969905935,0.15416519395991782,7.464,0.6479999999999997,6.65,7.912,1.2619999999999996,7.104,7.848
VA,right,C4,beta,pmbr_peak_s,s,24,24,1.0,7.4375,0.633594919281342,0.1293320213215986,7.636,0.29000000000000004,7.095,7.901,0.806,7.164,7.8
